/usr/local/lib/python3.10/dist-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 66,356,800
  scalars                 : 18
  total                   : 103,056,978
Estimated FLOPs per token: 4.826822e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
/usr/local/lib/python3.10/dist-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011199 | lrm: 0.00 | dt: 36298ms | tok/sec: 5,416 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011270 | lrm: 0.00 | dt: 264ms | tok/sec: 743,628 | mfu: 36.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011259 | lrm: 0.00 | dt: 123ms | tok/sec: 1,596,333 | mfu: 77.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011271 | lrm: 0.00 | dt: 125ms | tok/sec: 1,566,901 | mfu: 76.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011274 | lrm: 0.00 | dt: 125ms | tok/sec: 1,568,084 | mfu: 76.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011242 | lrm: 0.00 | dt: 127ms | tok/sec: 1,546,426 | mfu: 75.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011244 | lrm: 0.00 | dt: 127ms | tok/sec: 1,543,408 | mfu: 75.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011249 | lrm: 0.00 | dt: 127ms | tok/sec: 1,547,352 | mfu: 75.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011246 | lrm: 0.00 | dt: 127ms | tok/sec: 1,550,351 | mfu: 75.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011239 | lrm: 0.00 | dt: 128ms | tok/sec: 1,537,832 | mfu: 75.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011267 | lrm: 0.00 | dt: 129ms | tok/sec: 1,527,088 | mfu: 74.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011267 | lrm: 0.00 | dt: 124ms | tok/sec: 1,586,679 | mfu: 77.4% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 9.011268 | lrm: 0.02 | dt: 134ms | tok/sec: 1,466,988 | mfu: 71.6% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 9.008258 | lrm: 0.04 | dt: 132ms | tok/sec: 1,494,849 | mfu: 72.9% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 8.999502 | lrm: 0.06 | dt: 136ms | tok/sec: 1,449,400 | mfu: 70.7% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 8.980041 | lrm: 0.09 | dt: 139ms | tok/sec: 1,418,146 | mfu: 69.2% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 8.938744 | lrm: 0.11 | dt: 140ms | tok/sec: 1,401,120 | mfu: 68.3% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 8.848658 | lrm: 0.13 | dt: 136ms | tok/sec: 1,450,168 | mfu: 70.7% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 8.688712 | lrm: 0.16 | dt: 141ms | tok/sec: 1,397,933 | mfu: 68.2% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 8.519555 | lrm: 0.18 | dt: 140ms | tok/sec: 1,403,373 | mfu: 68.5% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 8.315158 | lrm: 0.20 | dt: 141ms | tok/sec: 1,397,629 | mfu: 68.2% | epoch: 1 | remaining: 299s    
step 00021 (0.5%) | loss: 8.102663 | lrm: 0.23 | dt: 141ms | tok/sec: 1,397,118 | mfu: 68.2% | epoch: 1 | remaining: 298s    
step 00022 (0.5%) | loss: 7.896773 | lrm: 0.25 | dt: 138ms | tok/sec: 1,419,792 | mfu: 69.3% | epoch: 1 | remaining: 298s    
step 00023 (0.5%) | loss: 7.697575 | lrm: 0.27 | dt: 142ms | tok/sec: 1,387,270 | mfu: 67.7% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 7.512111 | lrm: 0.30 | dt: 139ms | tok/sec: 1,417,749 | mfu: 69.2% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 7.335363 | lrm: 0.32 | dt: 139ms | tok/sec: 1,412,140 | mfu: 68.9% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 7.171899 | lrm: 0.34 | dt: 139ms | tok/sec: 1,417,368 | mfu: 69.1% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 7.019690 | lrm: 0.37 | dt: 141ms | tok/sec: 1,399,145 | mfu: 68.3% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 6.881601 | lrm: 0.39 | dt: 143ms | tok/sec: 1,378,306 | mfu: 67.2% | epoch: 1 | remaining: 298s    
step 00029 (0.8%) | loss: 6.753694 | lrm: 0.41 | dt: 141ms | tok/sec: 1,397,388 | mfu: 68.2% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 6.641865 | lrm: 0.44 | dt: 138ms | tok/sec: 1,426,119 | mfu: 69.6% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 6.534434 | lrm: 0.46 | dt: 140ms | tok/sec: 1,403,736 | mfu: 68.5% | epoch: 1 | remaining: 297s    
step 00032 (1.0%) | loss: 6.436545 | lrm: 0.48 | dt: 138ms | tok/sec: 1,419,775 | mfu: 69.3% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 6.349303 | lrm: 0.51 | dt: 140ms | tok/sec: 1,401,661 | mfu: 68.4% | epoch: 1 | remaining: 297s    
step 00034 (1.1%) | loss: 6.266944 | lrm: 0.53 | dt: 142ms | tok/sec: 1,389,050 | mfu: 67.8% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 6.191859 | lrm: 0.55 | dt: 141ms | tok/sec: 1,396,387 | mfu: 68.1% | epoch: 1 | remaining: 297s    
step 00036 (1.2%) | loss: 6.123426 | lrm: 0.58 | dt: 141ms | tok/sec: 1,392,585 | mfu: 67.9% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 6.064266 | lrm: 0.60 | dt: 138ms | tok/sec: 1,428,305 | mfu: 69.7% | epoch: 1 | remaining: 296s    
step 00038 (1.2%) | loss: 6.013114 | lrm: 0.62 | dt: 140ms | tok/sec: 1,403,335 | mfu: 68.5% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 5.961893 | lrm: 0.65 | dt: 141ms | tok/sec: 1,392,802 | mfu: 67.9% | epoch: 1 | remaining: 296s    
step 00040 (1.3%) | loss: 5.912043 | lrm: 0.67 | dt: 140ms | tok/sec: 1,402,180 | mfu: 68.4% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 5.867599 | lrm: 0.69 | dt: 141ms | tok/sec: 1,397,480 | mfu: 68.2% | epoch: 1 | remaining: 296s    
